0.0, 0.0 -0.0 0.0 7.143966816752872e-07 1.0636610131676532e-15 -1.063661013167653e-15 -1.063661013167653e-15 -3.190983039502959e-15 0.0 -2.127322026335307e-18 3.190983061095278e-10
9.999999999999999e-10, 0.0 1.5707963267845606e-05 0.0 -0.3408162790119656 -1.570792551654592e-05 -3.775129968620813e-11 -3.775129968620813e-11 1.5707850013946552e-05 -1.5707963267845608e-08 3.141585103309181e-08 -0.0015708008666800188
1.001e-06, 0.0 0.015723567566793415 0.0 -0.5292446707988134 -0.015723567529042068 -3.775134366354113e-11 -3.775134366354113e-11 0.01572356745353938 -1.5723567566793414e-05 3.144713505808417e-05 -1.570801841155709
2.001e-06, 0.0 0.03143080643079451 0.0 -0.5622603665116577 -0.031430806393043166 -3.775134140478661e-11 -3.775134140478661e-11 0.031430806317540486 -3.143080643079451e-05 6.286161278608627e-05 -1.5707556315145288
3.0009999999999997e-06, 0.0 0.04713680446037587 0.0 -0.5881032478882382 -0.04713680442262453 -3.7751345922295655e-11 -3.7751345922295655e-11 0.04713680434712184 -4.713680446037587e-05 9.427360884524967e-05 -1.5706474111305644
4.0009999999999995e-06, 0.0 0.06284094160962828 0.0 -0.6109916121825151 -0.06284094157187693 -3.775135947482281e-11 -3.775135947482281e-11 0.06284094149637422 -6.284094160962828e-05 0.000125681883143754 -1.5704771842761867
5.000999999999999e-06, 0.0 0.07854259790610685 0.0 -0.6322685323990072 -0.07854259786835548 -3.775133236976849e-11 -3.775133236976849e-11 0.0785425977928528 -7.854259790610685e-05 0.00015708519573671119 -1.5702449576716668
6.000999999999999e-06, 0.0 0.09424115347530655 0.0 -0.652522394010126 -0.09424115343755518 -3.775134140478659e-11 -3.775134140478659e-11 0.0942411533620525 -9.424115347530655e-05 0.0001884823068751112 -1.5699507404849014
7.000999999999999e-06, 0.0 0.10993598856513379 0.0 -0.6720815510795862 -0.10993598852738244 -3.7751341404786595e-11 -3.7751341404786595e-11 0.10993598845187975 -0.00010993598856513379 0.00021987197705476477 -1.569594544331102
8.000999999999998e-06, 0.0 0.125626483570373 0.0 -0.6911001026898154 -0.12562648353262168 -3.7751359474822805e-11 -3.7751359474822805e-11 0.12562648345711894 -0.000125626483570373 0.00025125296706524325 -1.569176383272249
